soc_code_onet,soc_code,occ_title,n_tasks,auto_genai,augment_genai,phys_share,mgmt_share
11-1011.00,11-10,Chief Executives,31.0,0.25431578621978945,1.2804547367368166,0.0,0.40160000018879993
11-1011.03,11-10,Chief Sustainability Officers,18.0,0.4241472136719033,1.309096349199701,0.0,0.23084979330326139
11-1021.00,11-10,General and Operations Managers,17.0,0.18994234406149904,1.2938821268590648,0.0,0.5869634857389495
11-1031.00,11-10,Legislators,30.0,0.1333333333333333,1.2666666666666668,0.0,0.16666666666666663
11-2011.00,11-20,Advertising and Promotions Managers,25.0,0.3663464726336535,1.2964999449035002,0.0,0.4055426745944573
11-2011.01,11-20,Green Marketers,16.0,0.5625,1.3250000000000002,0.0,0.0
11-2021.00,11-20,Marketing Managers,20.0,0.2526607360930166,1.2957282403520338,0.0,0.25499343795538715
11-2022.00,11-20,Sales Managers,17.0,0.22810457950915036,1.282892156911814,0.0,0.5421568589637255
11-2031.00,11-20,Public Relations and Fundraising Managers,19.0,0.3275028457599545,1.3,0.0,0.27175768465187705
11-3011.00,11-30,Administrative Services Managers,14.0,0.1642172512990415,1.2777635779886898,0.0,0.4462193842470713
11-3021.00,11-30,Computer and Information Systems Managers,17.0,0.5366153853169231,1.2996153846019232,0.0,0.3530769222346154
11-3031.01,11-30,Treasurers and Controllers,22.0,0.7354861279677083,1.2959664256605037,0.0,0.49848449152273266
11-3031.02,11-30,"Financial Managers, Branch or Department",21.0,0.6685581636969306,1.3097369098557905,0.0,0.24438999291023988
11-3051.00,11-30,Industrial Production Managers,14.0,0.4359683045913027,1.2999815731995943,0.0,0.427307913400774
11-3051.01,11-30,Quality Control Systems Managers,27.0,0.36708248801247456,1.296499371494981,0.0,0.2797601733928052
11-3051.02,11-30,Geothermal Production Managers,17.0,0.2369006970022265,1.263514917513567,0.0,0.30488348058557224
11-3051.03,11-30,Biofuels Production Managers,14.0,0.2857142857142857,1.2571428571428571,0.14285714285714285,0.42857142857142855
11-3051.04,11-30,Biomass Power Plant Managers,18.0,0.40370838212979343,1.2735496556742378,0.1543756144031465,0.23500491722517208
11-3051.05,11-30,Methane/Landfill Gas Collection System Operators,21.0,0.3333333333333333,1.2523809523809526,0.047619047619047616,0.4285714285714286
11-3051.06,11-30,Hydroelectric Production Managers,19.0,0.21052631578947364,1.2631578947368418,0.05263157894736841,0.4210526315789473
11-3061.00,11-30,Purchasing Managers,17.0,0.5142635671141085,1.2986511624892092,0.0,0.24232558393860465
11-3071.01,11-30,Transportation Managers,28.0,0.4218781006092914,1.2781020450912448,0.0,0.3960690903061346
11-3071.02,11-30,Storage and Distribution Managers,30.0,0.3752669183752669,1.2857011350857013,0.0,0.1527322391527322
11-3071.03,11-30,Logistics Managers,30.0,0.35807606572921713,1.3,0.0,0.24736281895780515
11-3111.00,11-31,Compensation and Benefits Managers,24.0,0.5542850687485565,1.2918261064120005,0.0,0.2998981098976566
11-3121.00,11-31,Human Resources Managers,26.0,0.3791399457913994,1.2944590473445903,0.0,0.462306799623068
11-3131.00,11-31,Training and Development Managers,12.0,0.3326644343547381,1.3078037907502786,0.0,0.4929765852247493
11-9013.01,11-90,Nursery and Greenhouse Managers,20.0,0.04950367265347428,1.2450560785846072,0.28477504200657466,0.31133169982067804
