iso3,country,share_exposed,subst_exp,informal,selfemp_agri,selfemp,gdppc
AGO,Angola,0.291642283343087,0.117678352928659,90.765,50.6376494608277,75.63351297622836,10414.2358842987
BDI,Burundi,0.0942703622918551,0.0460179815928074,98.044,81.02881763237039,86.17106209003295,1023.97040626757
BEN,Benin,0.246156301537479,0.0867691652923339,96.585,41.467322363346696,83.2333156447452,3041.77929984989
BFA,Burkina Faso,0.142788742884503,0.0571899771240092,95.093,30.0093013130309,82.8375493785066,2232.28781490944
CIV,Cote dIvoire,0.294515082193967,0.108687556524977,92.819,41.20139460692625,73.93915529248784,5556.11366322898
CMR,Cameroon,0.245305101877959,0.0932595626961749,87.099,43.179776677015454,73.54777289118294,4767.13186148953
COD,DR Congo,0.107783156886737,0.0542639782944087,96.821,59.34121035584075,84.604823452527,1394.76461472893
DZA,Algeria,0.433154226738309,0.153854338458265,,,31.3239700410104,15073.7629403565
EGY,Egypt,0.463318614672554,0.167047933180827,60.8465,13.76233596066215,30.15397355561145,14018.360593453
ETH,Ethiopia,0.220833111666755,0.0868755652497739,77.654,65.77535958234296,86.0715108400629,2222.82824481382
GHA,Ghana,0.286801085279566,0.0959195616321753,85.08449999999999,34.32225162128885,72.69025131293185,5993.63085211077
GIN,Guinea,0.136032345587062,0.0598499760600096,,51.1114509585196,83.7428370798309,3332.76576150531
KEN,Kenya,0.369580252167899,0.12326435069426,86.489,33.877719363074654,64.18005752156475,4846.86210851932
MAR,Morocco,0.442251423099431,0.149598340160664,,16.013625057895,41.83262335239125,8198.80859375
MDG,Madagascar,0.175134329946268,0.080970367611853,95.445,67.4213988135581,89.03229469447315,1627.5806134224
MLI,Mali,0.140341543863382,0.0675107729956908,93.8135,61.1876373879905,81.67207545561234,2796.22793795433
MOZ,Mozambique,0.201308719476512,0.087726764909294,95.511,71.27962952945315,86.0229910451423,1476.66560298097
MWI,Malawi,0.167313933074427,0.06261637495345,88.8675,34.261678437666404,62.00089184689875,1613.0593571462
NER,Niger,0.0985263605894558,0.0525615789753684,96.93199999999999,73.0103525463027,90.33998250040929,1520.0015371232
NGA,Nigeria,0.332712666914933,0.116507953396819,93.03649999999999,31.1256985985016,87.19675273822276,8265.9055121162
RWA,Rwanda,0.300579879768048,0.0968771612491355,85.85,21.602431374687853,43.337783320115605,2351.59686866227
SDN,Sudan,0.178485928605629,0.0806511677395329,90.582,31.1557743698576,46.9956928637535,4061.01831054688
SEN,Senegal,0.325424269830292,0.0986327605468958,90.84700000000001,23.5518854898362,66.84265273252146,3871.4514678592
SSD,South Sudan,0.0333031866787253,0.0192583922966431,,,84.0934157775742,
TCD,Chad,0.0985263605894558,0.0472415811033676,97.2465,67.01386689179006,91.23460085161494,2604.53153663392
TGO,Togo,0.216683513326595,0.0835239665904134,91.215,35.70746872348505,80.5953251607756,2462.27744935268
TUN,Tunisia,0.492897802840879,0.158801936479225,49.075,8.507232876355005,25.8876747035656,12712.22345453
TZA,Tanzania,0.237857104857158,0.0898547640580944,90.777,60.0033742665071,86.6295157275599,3318.28833007813
UGA,Uganda,0.214023514390594,0.0799063680374528,94.479,60.3815604563201,79.23504798581419,2554.22769062073
ZAF,South Africa,0.510453795818482,0.192849922860031,34.006,0.405663795511519,15.6915848370869,14434.2611456048
ZMB,Zambia,0.267716535433071,0.100819323260268,83.846,53.7164658076203,74.5323599768414,3585.12379084347
ZWE,Zimbabwe,0.31265627493749,0.104484758206097,87.998,50.1453775898975,71.0587871139252,5036.76136109489
