id,idno,country,year_start,year_end,title,varcount,url
2538,BFA_2014_EMC_v01_M,Burkina Faso,2014,2014,Enquête Multisectorielle Continue 2014,1713,https://microdata.worldbank.org/catalog/2538
4290,BFA_2018_EHCVM_v03_M,Burkina Faso,2018,2019,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,1700,https://microdata.worldbank.org/catalog/4290
6277,BFA_2021_EHCVM-2_v01_M,Burkina Faso,2021,2022,Enquête Harmonisée sur le Conditions de Vie des Ménages 2021-2022,2186,https://microdata.worldbank.org/catalog/6277
6224,BFA_2021_EHCVM-P_v04_M,Burkina Faso,2021,2022,"Enquête Harmonisée sur le Conditions de Vie des Ménages, Panel Survey 2021-2022",2247,https://microdata.worldbank.org/catalog/6224
2053,ETH_2011_ERSS_v02_M,Ethiopia,2011,2012,Rural Socioeconomic Survey 2011-2012,2352,https://microdata.worldbank.org/catalog/2053
2671,ETH_2013_LASER_v02_M,Ethiopia,2013,2014,Land and Soil Experimental Research 2013,505,https://microdata.worldbank.org/catalog/2671
2247,ETH_2013_ESS_v03_M,Ethiopia,2013,2014,Socioeconomic Survey 2013-2014,3044,https://microdata.worldbank.org/catalog/2247
2783,ETH_2015_ESS_v03_M,Ethiopia,2015,2016,"Socioeconomic Survey 2015-2016, Wave 3",3060,https://microdata.worldbank.org/catalog/2783
3823,ETH_2018_ESS_v04_M,Ethiopia,2018,2019,Socioeconomic Survey 2018-2019,2550,https://microdata.worldbank.org/catalog/3823
3716,ETH_2020-2024_HFPS_v15_M,Ethiopia,2020,2024,High Frequency Phone Survey 2020-2024,2740,https://microdata.worldbank.org/catalog/3716
6161,ETH_2021_ESPS-W5_v02_M,Ethiopia,2021,2022,Socio-Economic Panel Survey 2021-2022,2587,https://microdata.worldbank.org/catalog/6161
5827,ETH_2022_COVID19-Vax_v01_M,Ethiopia,2022,2022,COVID-19 Vaccination Survey 2022,23,https://microdata.worldbank.org/catalog/5827
2307,MWI_2004_IHS-II_v01_M,Malawi,2004,2005,Second Integrated Household Survey 2004-2005,1901,https://microdata.worldbank.org/catalog/2307
2248,MWI_2010-2013_IHPS_v01_M,Malawi,2010,2013,"Integrated Household Panel Survey 2010-2013 (Short-Term Panel, 204 EAs)",6621,https://microdata.worldbank.org/catalog/2248
2939,MWI_2010-2016_IHPS_v03_M,Malawi,2010,2016,"Integrated Household Panel Survey 2010-2013-2016 (Long-Term Panel, 102 EAs)",10393,https://microdata.worldbank.org/catalog/2939
3819,MWI_2010-2019_IHPS_v06_M,Malawi,2010,2019,"Integrated Household Panel Survey 2010-2013-2016-2019 (Long-Term Panel, 102 EAs)",14262,https://microdata.worldbank.org/catalog/3819
1003,MWI_2010_IHS-III_v01_M,Malawi,2010,2011,Third Integrated Household Survey 2010-2011,3144,https://microdata.worldbank.org/catalog/1003
2936,MWI_2016_IHS-IV_v04_M,Malawi,2016,2017,Fourth Integrated Household Survey 2016-2017,3363,https://microdata.worldbank.org/catalog/2936
3818,MWI_2019_IHS-V_v06_M,Malawi,2019,2020,Fifth Integrated Household Survey 2019-2020,3500,https://microdata.worldbank.org/catalog/3818
2583,MLI_2014_EACI_v03_M,Mali,2014,2015,Enquête Agricole de Conjoncture Intégrée 2014,2097,https://microdata.worldbank.org/catalog/2583
3409,MLI_2017_EAC-I_v03_M,Mali,2017,2018,Enquête Agricole de Conjoncture Intégrée aux Conditions de Vie des Ménages 2017,1264,https://microdata.worldbank.org/catalog/3409
4295,MLI_2018_EHCVM_v02_M,Mali,2018,2019,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,1795,https://microdata.worldbank.org/catalog/4295
6275,MLI_2021_EHCVM-2_v01_M,Mali,2021,2022,"Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022",1917,https://microdata.worldbank.org/catalog/6275
2050,NER_2011_ECVMA_v01_M,Niger,2011,2012,National Survey on Household Living Conditions and Agriculture 2011,3981,https://microdata.worldbank.org/catalog/2050
2676,NER_2014_ECVMA-II_v02_M,Niger,2014,2015,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data",2276,https://microdata.worldbank.org/catalog/2676
4296,NER_2018_EHCVM_v02_M,Niger,2018,2019,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,1801,https://microdata.worldbank.org/catalog/4296
6276,NER_2021_EHCVM-2_v01_M,Niger,2021,2022,"Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022",1911,https://microdata.worldbank.org/catalog/6276
5835,NGA_2010-2019_NUPD_v01_M,Nigeria,2010,2019,"General Household Survey - Panel 2010-2019, Uniform Panel Data",2822,https://microdata.worldbank.org/catalog/5835
1002,NGA_2010_GHSP-W1_v03_M,Nigeria,2010,2011,"General Household Survey, Panel 2010-2011, Wave 1",2596,https://microdata.worldbank.org/catalog/1002
1952,NGA_2012_GHSP-W2_v02_M,Nigeria,2012,2013,"General Household Survey, Panel  2012-2013, Wave 2",3016,https://microdata.worldbank.org/catalog/1952
2842,NGA_2013_GHSP-FAMVS_v01_M,Nigeria,2013,2013,"General Household Survey Panel, Farm Area Measurement Validation Study 2013",92,https://microdata.worldbank.org/catalog/2842
2734,NGA_2015_GHSP-W3_v02_M,Nigeria,2015,2016,"General Household Survey, Panel  2015-2016, Wave 3",2907,https://microdata.worldbank.org/catalog/2734
3557,NGA_2018_GHSP-W4_v03_M,Nigeria,2018,2019,"General Household Survey, Panel 2018-2019, Wave 4",3061,https://microdata.worldbank.org/catalog/3557
4444,NGA_2021-2024_NLPS_v10_M,Nigeria,2021,2024,National Longitudinal Phone Survey 2021-2024,3117,https://microdata.worldbank.org/catalog/4444
6410,NGA_2023_GHSP-W5_v01_M,Nigeria,2023,2024,"General Household Survey, Panel 2023-2024",4412,https://microdata.worldbank.org/catalog/6410
359,TZA_1991_KHDS_v01_M,Tanzania,1991,1994,Kagera Health and Development Survey 1991-1994 (Wave 1 to 4 Panel),10611,https://microdata.worldbank.org/catalog/359
403,TZA_1993_HRDS_v01_M,Tanzania,1993,1994,Human Resource Development Survey 1993,946,https://microdata.worldbank.org/catalog/403
79,TZA_2004_KHDS_v01_M,Tanzania,2004,2004,Kagera Health and Development Survey 2004 (Wave 5 Panel),2108,https://microdata.worldbank.org/catalog/79
76,TZA_2008_NPS-R1_v03_M,Tanzania,2008,2009,"National Panel Survey 2008-2009, Wave 1",2198,https://microdata.worldbank.org/catalog/76
3814,TZA_2008-2014_NPS-UPD_v01_M,Tanzania,2008,2015,"National Panel Survey 2008-2015, Uniform Panel Dataset",1214,https://microdata.worldbank.org/catalog/3814
2251,TZA_2010_KHDS_v01_M,Tanzania,2010,2010,"Kagera Health and Development Survey 2010, Wave 6",753,https://microdata.worldbank.org/catalog/2251
1050,TZA_2010_NPS-R2_v03_M,Tanzania,2010,2011,"National Panel Survey 2010-2011, Wave 2",2062,https://microdata.worldbank.org/catalog/1050
2252,TZA_2012_NPS-R3_v01_M,Tanzania,2012,2013,"National Panel Survey 2012-2013, Wave 3",2139,https://microdata.worldbank.org/catalog/2252
3455,TZA_2014_NPS-R4_v03_M_v03_A_EXT,Tanzania,2013,2016,National Panel Survey 2014-2015,1963,https://microdata.worldbank.org/catalog/3455
3399,TZA_2014_DAR-LSMS_v01_M,Tanzania,2014,2015,"Measuring Living Standards within Cities, Dar es Salaam 2014-2015",547,https://microdata.worldbank.org/catalog/3399
2862,TZA_2014_NPS-R4_v03_M,Tanzania,2014,2015,"National Panel Survey 2014-2015, Wave 4",1993,https://microdata.worldbank.org/catalog/2862
2863,TZA_2016_NPS-FTFISS_v01_M,Tanzania,2016,2016,National Panel Survey Wave 4 - Feed the Future Interim Supplemental Survey 2016,241,https://microdata.worldbank.org/catalog/2863
3885,TZA_2019_NPS-SDD_v06_M,Tanzania,2019,2020,National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data,2340,https://microdata.worldbank.org/catalog/3885
5639,TZA_2020_NPS-R5_v02_M,Tanzania,2020,2022,"National Panel Survey 2020-21, Wave 5",2076,https://microdata.worldbank.org/catalog/5639
4542,TZA_2021-2024_HFWMPS_v09_M,Tanzania,2021,2024,High Frequency Welfare Monitoring Phone Survey 2021-2024,3026,https://microdata.worldbank.org/catalog/4542
1001,UGA_2005-2009_UNPS_v03_M,Uganda,2005,2010,National Panel Survey 2005-2009,2547,https://microdata.worldbank.org/catalog/1001
2166,UGA_2010_UNPS_v03_M,Uganda,2010,2011,National Panel Survey 2010-2011,1438,https://microdata.worldbank.org/catalog/2166
2059,UGA_2011_UNPS_v02_M,Uganda,2011,2012,National Panel Survey 2011-2012,1836,https://microdata.worldbank.org/catalog/2059
2663,UGA_2013_UNPS_v02_M,Uganda,2013,2014,National Panel Survey 2013-2014,2116,https://microdata.worldbank.org/catalog/2663
3460,UGA_2015_UNPS_v02_M,Uganda,2015,2016,National Panel Survey 2015-2016,1890,https://microdata.worldbank.org/catalog/3460
3795,UGA_2018_UNPS_v02_M,Uganda,2018,2019,Uganda National Panel Survey 2018-2019,1934,https://microdata.worldbank.org/catalog/3795
3902,UGA_2019_UNPS_v03_M,Uganda,2019,2020,National Panel Survey 2019-2020,1963,https://microdata.worldbank.org/catalog/3902
